DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
8,5,32848,19095,10295,3458,5317,3442,1226,3474,4376,3822,3086,2486,789,1372
9,5,32383,18978,10060,3345,5493,3354,1177,3447,4253,3683,2982,2431,796,1422
10,5,35440,20547,11036,3857,5804,3557,1266,3656,4740,4014,3416,2790,863,1477
11,5,33317,19576,10384,3357,5524,3492,1186,3487,4412,3688,3127,2661,886,1497
12,5,32754,19183,10211,3360,5454,3373,1201,3436,4383,3670,3129,2537,802,1409
13,5,32288,18850,10006,3432,5328,3342,1130,3324,4385,3689,3009,2471,754,1424
14,5,33196,19389,10402,3405,5467,3489,1188,3367,4597,3799,3128,2469,808,1479
15,5,34285,19928,10521,3836,5621,3521,1147,3589,4598,3873,3297,2599,805,1399
16,5,32012,18769,9930,3313,5187,3355,1121,3430,4265,3639,3016,2532,820,1334
17,5,32393,19028,10094,3271,5323,3343,1168,3411,4419,3686,3074,2532,781,1385
18,5,32664,19107,10188,3369,5434,3364,1134,3441,4423,3787,3069,2445,800,1398
19,5,31989,18780,9961,3248,5262,3271,1124,3383,4335,3566,3042,2529,858,1371
20,5,33297,19441,10116,3740,5546,3427,1205,3519,4370,3683,3112,2579,821,1295
21,5,31745,18572,9947,3226,5203,3292,1143,3354,4341,3646,2916,2382,853,1389
22,5,32572,19083,10157,3332,5405,3405,1211,3396,4336,3664,3091,2541,831,1360
23,5,32206,18806,10109,3291,5234,3300,1144,3306,4421,3776,3005,2545,802,1382
24,5,31344,18300,9809,3235,5103,3284,1131,3309,4164,3602,2903,2440,808,1365
25,5,33458,19583,10245,3630,5597,3407,1143,3520,4526,3679,3086,2533,859,1478
26,5,32150,18826,9987,3337,5228,3330,1159,3422,4449,3697,3023,2397,753,1355
27,5,31894,18750,9809,3335,5225,3296,1156,3385,4420,3607,2898,2424,788,1360
28,5,31732,18568,9894,3270,5267,3348,1168,3285,4260,3646,2893,2408,759,1428
29,5,31495,18484,9875,3136,5136,3239,1167,3407,4223,3597,2992,2479,786,1333
30,5,32029,18710,10049,3270,5182,3273,1086,3431,4335,3784,2966,2489,851,1362
31,5,31063,18304,9699,3060,5109,3237,1159,3343,4172,3455,2984,2443,798,1303
1,6,34606,20117,10549,3940,5803,3443,1175,3479,4678,3917,3261,2714,821,1375
2,6,32561,19010,10100,3451,5356,3369,1141,3459,4329,3691,3044,2497,838,1386
3,6,32791,19162,10292,3337,5462,3424,1199,3477,4296,3756,3115,2503,887,1335
4,6,32088,18830,9944,3314,5303,3255,1152,3341,4433,3682,2990,2498,790,1330
5,6,32654,19090,10080,3484,5422,3273,1193,3512,4347,3682,2984,2536,835,1386
6,6,32907,19051,10258,3598,5393,3356,1195,3422,4344,3791,2997,2536,829,1446
7,6,32137,18709,10069,3359,5181,3330,1164,3380,4311,3766,2938,2507,804,1397
8,6,32023,18682,9967,3374,5393,3293,1173,3373,4156,3607,3059,2467,816,1312
9,6,31715,18645,9845,3225,5318,3293,1180,3385,4286,3518,2965,2363,798,1384
10,6,33754,19571,10471,3712,5555,3465,1191,3416,4511,3837,3223,2624,843,1377
11,6,32140,18831,10032,3277,5166,3302,1128,3415,4352,3674,3071,2596,802,1357
12,6,32222,18774,10049,3399,5267,3261,1146,3429,4328,3697,2951,2489,815,1440
13,6,31533,18314,10047,3172,5214,3223,1095,3278,4192,3696,3001,2407,858,1397
14,6,32320,18819,10261,3240,5297,3283,1214,3402,4355,3807,3032,2482,821,1387
15,6,34060,19719,10654,3687,5589,3443,1161,3500,4548,3809,3384,2639,830,1470
16,6,32493,18838,10289,3366,5302,3262,1164,3376,4431,3719,3145,2467,818,1443
17,6,32080,18609,10247,3224,5244,3343,1131,3302,4261,3730,3059,2459,832,1495
18,6,32452,18745,10304,3403,5178,3306,1199,3387,4384,3792,3093,2490,838,1382
19,6,32079,18603,10211,3265,5199,3388,1137,3290,4303,3742,3151,2423,838,1343
20,6,33379,19342,10423,3614,5391,3401,1103,3493,4468,3877,3155,2589,835,1453
21,6,32579,19063,10164,3352,5437,3353,1164,3438,4289,3761,3062,2546,841,1336
22,6,32451,18875,10204,3372,5179,3344,1194,3438,4357,3717,3055,2557,794,1444
23,6,32060,18491,10264,3305,5146,3279,1153,3288,4244,3753,3147,2534,868,1343
24,6,32445,18941,10235,3269,5394,3381,1143,3386,4250,3870,3076,2530,769,1377
25,6,32958,18975,10492,3491,5388,3327,1233,3366,4398,3814,3216,2496,834,1395
26,6,33098,19154,10516,3428,5427,3290,1214,3573,4376,3784,3279,2488,833,1406
27,6,32634,18998,10363,3273,5295,3256,1203,3432,4446,3775,3088,2569,807,1490
28,6,32464,18924,10341,3199,5275,3359,1194,3422,4372,3761,3134,2496,822,1430
29,6,32459,18873,10320,3266,5340,3277,1219,3403,4328,3784,3050,2525,834,1433
30,6,32669,18883,10298,3488,5333,3297,1160,3419,4380,3745,3096,2454,808,1489
1,7,85710,41398,18882,25430,17057,6474,1962,5406,7971,6740,7292,4490,993,1895
2,7,32877,19054,10284,3539,5372,3338,1086,3390,4401,3776,3170,2553,826,1426
3,7,32563,19025,10223,3315,5304,3341,1156,3452,4414,3767,3113,2514,823,1364
4,7,31661,18528,9900,3233,5231,3280,1190,3293,4168,3643,2955,2556,786,1326
5,7,32913,19049,10402,3462,5342,3331,1177,3402,4405,3730,3195,2569,815,1485
6,7,32710,19174,10222,3314,5463,3353,1104,3439,4350,3777,3125,2569,830,1386
7,7,33374,19427,10396,3551,5472,3443,1205,3583,4358,3844,3115,2571,835,1397
8,7,32615,19035,10193,3387,5416,3347,1146,3342,4381,3714,3134,2549,789,1410
9,7,32095,18772,10036,3287,5223,3234,1136,3517,4334,3604,3071,2464,823,1402
10,7,33671,19633,10377,3661,5598,3428,1171,3557,4555,3809,3163,2495,820,1414
11,7,31674,18018,10280,3376,4847,3222,1213,3425,4136,3726,3095,2388,883,1363
12,7,32698,18976,10336,3386,5275,3374,1114,3477,4351,3821,3162,2499,852,1387
13,7,32035,18511,10219,3305,5134,3259,1136,3366,4349,3758,3139,2403,781,1405
14,7,32927,19251,10374,3302,5479,3373,1246,3484,4405,3774,3009,2510,911,1434
15,7,33985,19705,10610,3670,5638,3422,1162,3522,4484,3922,3242,2639,829,1455
16,7,32149,18529,10246,3374,5190,3291,1173,3407,4197,3804,2997,2444,820,1452
17,7,32679,18879,10418,3382,5286,3377,1179,3406,4363,3806,3123,2447,839,1471
18,7,32280,18806,10225,3249,5285,3314,1145,3414,4390,3784,3040,2403,828,1428
19,7,32574,18853,10454,3267,5371,3297,1178,3418,4226,3763,3168,2541,897,1448
20,7,33712,19588,10478,3646,5500,3474,1147,3545,4503,3838,3227,2566,822,1444
21,7,27853,16227,8649,2977,4576,2845,1064,2894,3648,3034,2641,2264,709,1201
22,7,31959,18512,10116,3331,5194,3224,1108,3381,4258,3702,3078,2455,845,1383
23,7,33032,19064,10577,3391,5428,3367,1201,3466,4266,3911,3102,2537,839,1524
24,7,32564,18784,10546,3234,5254,3363,1208,3395,4287,3864,3170,2485,847,1457
25,7,33043,19077,10495,3471,5446,3477,1197,3357,4222,3858,3100,2575,879,1461
