                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
85                                   Occidental College   124900       8       1304.0    0.202     0.497         0.449   1703.0    10885.0        0.947916667              21500       75275.66   
86                       Otis College of Art and Design   125100       8       1045.0    0.427     0.565         0.904    896.0     7927.0        0.813229572              25000       73811.67   
87                        Hope International University   125200       8        910.0    0.549     0.772         0.343    637.0     6750.0        0.719298246              17750       71774.01   
88                                Pacific Union College   125800       8        984.0    0.467     0.776         0.452   1465.0     6092.0        0.864485981              20917       69255.78   
89                            University of the Pacific   132900       8       1152.0    0.374     0.560         0.646   3093.0    10663.0        0.830110497              20500       72621.06   
90                                Pepperdine University  1014900       8       1226.0    0.186     0.411         0.381   3068.0    11858.0        0.848366013            23863.5       79068.51   
91                       Point Loma Nazarene University   126200       8       1148.0    0.270     0.611         0.713   2304.0     9741.0        0.908695652              18065       71269.62   
92                                       Pomona College   117300       8       1435.0    0.198     0.147         0.103   1574.0    12644.0  PrivacySuppressed              10000       76544.99   
93                               University of Redlands   132200       8       1130.0    0.299     0.627         0.675   3015.0     9954.0        0.836507937              25000       68599.20   
94                           San Diego State University   115100       8       1130.0    0.376     0.338         0.344  25658.0     9532.0        0.755839058            13938.5       68953.33   
95                              University of San Diego  1039500       8       1236.0    0.177     0.409         0.517   4793.0    12116.0        0.857623318              20000       79883.39   
96                       San Francisco State University   115400       8        979.0    0.450     0.375         0.679  20365.0     9411.0        0.718116976            13503.5       77495.51   
97                          University of San Francisco   132500       8       1172.0    0.254     0.468         0.644   4664.0    12851.0         0.83491062              21500       82472.56   
98                            William Jessup University   128100       8       1012.0    0.428     0.672         0.761    395.0     6928.0        0.849315069              15000       76498.11   
99                            San Jose State University   115500       8       1055.0    0.424     0.344         0.552  20711.0     9489.0        0.860326895              12500       88589.14   
100                              Santa Clara University   132600       8       1313.0    0.120     0.329         0.488   4308.0    12133.0        0.915119363              19500       93581.09   
101                                     Scripps College   117400       8       1362.0    0.108     0.331         0.279    787.0    11220.0  PrivacySuppressed              12500       79153.99   
102                                  Simpson University   129100       8       1001.0    0.556     0.947         0.515   1026.0     6205.0        0.758007117              16500       55586.54   
103                  Saint Mary's College of California   130200       8       1124.0    0.259     0.625         0.975   3035.0     9903.0        0.866962306              21250       84232.87   
104                             Sonoma State University   115600       8        996.0    0.327     0.412         0.766   6211.0     8815.0        0.770761246            13610.5       75511.05   
105          Vanguard University of Southern California   129300       8        975.0    0.414     0.808         0.683   1470.0     8439.0        0.795665635              19500       75891.29   
106       Southern California Institute of Architecture  2075800       8       1116.0    0.312     0.281         0.734     19.0    12204.0        0.717948718              36923       66525.34   
107                   University of Southern California   132800       8       1391.0    0.231     0.357         0.177  15705.0    13461.0        0.883161512              21500       76787.41   
108                              Thomas Aquinas College  2358000       8       1280.0    0.354     0.722         0.751    277.0     9366.0  PrivacySuppressed              16500       67656.24   
